iter	Logloss
0	0.6876374216
1	0.6833422857
2	0.6804180515
3	0.6763553964
4	0.673959385
5	0.6714119983
6	0.6685332906
7	0.6657868022
8	0.6624719059
9	0.6606831546
10	0.6569243422
11	0.6551396319
12	0.652216621
13	0.6477687551
14	0.6466389618
15	0.6464323961
16	0.6456562264
17	0.6439219855
18	0.642960841
19	0.6423984803
20	0.6415763927
21	0.6387224815
22	0.6383411332
23	0.6355786056
24	0.6347301073
25	0.6341532248
26	0.6328579723
27	0.6322111351
28	0.632079465
29	0.6319742311
30	0.630757653
31	0.6293423378
32	0.6291375429
33	0.6290077044
34	0.627114712
35	0.6268537645
36	0.6263149739
37	0.6260882582
38	0.6253249602
39	0.6251035107
40	0.6243234726
41	0.6241745155
42	0.624147526
43	0.6211808368
44	0.6208907729
45	0.6205955553
46	0.620465627
47	0.6203557761
48	0.6193535764
49	0.6192117253
50	0.6190813236
51	0.6189203314
52	0.6184669306
53	0.6171661018
54	0.6163488382
55	0.6159637191
56	0.6159000455
57	0.6157989751
58	0.6157078518
59	0.615192562
60	0.6141086046
61	0.6140526445
62	0.6133363736
63	0.6129153975
64	0.6126240512
65	0.6124076132
66	0.6123304081
67	0.6114426482
68	0.6111342773
69	0.6101738759
70	0.60950745
71	0.6091444721
72	0.608219693
73	0.608219662
74	0.6067251752
75	0.6067251648
76	0.6056694539
77	0.6056616103
78	0.6050406458
79	0.6050406362
80	0.604434831
81	0.6044272096
82	0.6044192226
83	0.6025724498
84	0.6025724493
85	0.60212786
86	0.6020804621
87	0.601306552
88	0.6012773745
89	0.6012773736
90	0.6011519442
91	0.6010991569
92	0.601097113
93	0.5994160986
94	0.5992991016
95	0.5987800323
96	0.5983467384
97	0.5977638095
98	0.5977486738
99	0.597121045
100	0.5965071442
101	0.5963243236
102	0.5962873915
103	0.5962603124
104	0.5954247618
105	0.595421507
106	0.5954215019
107	0.5954215019
108	0.5953643258
109	0.5953612566
110	0.5951824954
111	0.5951368381
112	0.5951368377
113	0.5938554707
114	0.593803811
115	0.5937833383
116	0.593783335
117	0.5922964749
118	0.5922920314
119	0.5921283894
120	0.5919509171
121	0.5908594512
122	0.5908109532
123	0.5907381813
124	0.5906955414
125	0.5906356528
126	0.5904383623
127	0.5903003626
128	0.5893046734
129	0.5893046643
130	0.5893046607
131	0.5892811526
132	0.588464641
133	0.5872454146
134	0.5871665305
135	0.5861862058
136	0.5860497942
137	0.5860497859
138	0.5848749637
139	0.5848653894
140	0.5844681426
141	0.5832734532
142	0.5831928217
143	0.5831928204
144	0.5826450521
145	0.5816035472
146	0.5816035392
147	0.5815668105
148	0.5802098235
149	0.5794430933
150	0.5786880983
151	0.5786293797
152	0.578397172
153	0.5763915892
154	0.5762645837
155	0.5749462742
156	0.5749462719
157	0.5741577079
158	0.573978281
159	0.572923946
160	0.5719549616
161	0.5707911217
162	0.568313499
163	0.5682991922
164	0.5669249142
165	0.5656637635
166	0.5656457943
167	0.5653565752
168	0.5641206362
169	0.5640175165
170	0.5610345339
171	0.5609225054
172	0.5598185823
173	0.5594913314
174	0.5584952634
175	0.5573778589
176	0.5573778435
177	0.5558014017
178	0.5546285588
179	0.5534118296
180	0.5527864445
181	0.5527441927
182	0.552129826
183	0.5507326726
184	0.5485888493
185	0.547614718
186	0.5464563012
187	0.5457210595
188	0.5442771856
189	0.5422210715
190	0.5414287807
191	0.5413394582
192	0.5392199566
193	0.5382468893
194	0.5370868568
195	0.5359660685
196	0.5358898992
197	0.5343300605
198	0.5323088963
199	0.5315188066
200	0.531016088
201	0.5293877794
202	0.527844798
203	0.5256666039
204	0.5256044748
205	0.5234068372
206	0.5221444321
207	0.5207601573
208	0.519103347
209	0.5180526544
210	0.5162022946
211	0.5152634672
212	0.5143511076
213	0.5125918331
214	0.512000291
215	0.5105285245
216	0.5092858872
217	0.50818277
218	0.5075807192
219	0.5069180745
220	0.5058625875
221	0.5049039336
222	0.5033758173
223	0.5025372651
224	0.5009512215
225	0.4989643786
226	0.4984028899
227	0.4972628284
228	0.4956300746
229	0.4948542869
230	0.4941263317
231	0.4934318754
232	0.4922021843
233	0.4914498589
234	0.4908290893
235	0.489322815
236	0.4881067048
237	0.4866756704
238	0.4860445424
239	0.4844854975
240	0.4831577932
241	0.4822210283
242	0.4813914709
243	0.4795934937
244	0.4779333984
245	0.4767175303
246	0.4750460256
247	0.4737010087
248	0.4724055569
249	0.4708679859
250	0.4695260857
251	0.4691392528
252	0.4677933001
253	0.4667068853
254	0.4648409806
255	0.4634307546
256	0.4621015504
257	0.4609453906
258	0.4591919623
259	0.458561551
260	0.4578667166
261	0.4563503142
262	0.4555480641
263	0.4539682222
264	0.4527137061
265	0.4520751701
266	0.4510188503
267	0.4490933893
268	0.4485416963
269	0.4474517802
270	0.4459728009
271	0.4445145597
272	0.4438043284
273	0.442689351
274	0.4414514439
275	0.4400971823
276	0.4391923714
277	0.4387514247
278	0.4377251142
279	0.4365878371
280	0.4353559312
281	0.4344211449
282	0.4335004998
283	0.4326524019
284	0.4315441102
285	0.4306452029
286	0.429665504
287	0.4283835229
288	0.4274355109
289	0.4264709763
290	0.4261156807
291	0.4252317815
292	0.4242925086
293	0.423173144
294	0.422253752
295	0.421599538
296	0.4204367249
297	0.4190050091
298	0.4172804956
299	0.4167258047
